\\ Названия всех модифайеров \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"modifier_life_stealer_infest"	"Паразитирует носителя"
"[english]modifier_life_stealer_infest"	"Infesting a host"

"modifier_fountain_glyph"	"Укрепление строений"
"[english]modifier_fountain_glyph"	"Glyph of Fortification"

"modifier_fountain_glyph_Description"	"Это сооружение временно невосприимчиво к урону."
"[english]modifier_fountain_glyph_Description"	"This structure is briefly impervious to damage."

"modifier_courier_return_stash_items"	"Возвращает предметы"
"[english]modifier_courier_return_stash_items"	"Returning items"

"modifier_courier_return_stash_items_Description"	""
"[english]modifier_courier_return_stash_items_Description"	""

"modifier_courier_take_stash_items"	"Забирает предметы"
"[english]modifier_courier_take_stash_items"	"Retrieving items"

"modifier_courier_transfer_items"	"Относит предметы"
"[english]modifier_courier_transfer_items"	"Transferring items"

"modifier_courier_transfer_items_Description"	""
"[english]modifier_courier_transfer_items_Description"	""

"modifier_courier_burst"	"Ускорен"
"[english]modifier_courier_burst"	"Speed Burst"

"modifier_courier_burst_Description"	""
"[english]modifier_courier_burst_Description"	""

"modifier_teleporting"	"Телепортация"
"[english]modifier_teleporting"	"Teleporting"

"modifier_backdoor_protection"	"Защита от обхода"
"[english]modifier_backdoor_protection"	"Backdoor Protection"

"modifier_pudge_rot"	"Rot"
"[english]modifier_pudge_rot"	"Rot"

"modifier_pudge_rot_Description"	"Каждую секунду наносит урон противникам, находящимся в зоне действия."
"[english]modifier_pudge_rot_Description"	"Causes damage to every fighter in a radius every second."

"modifier_pudge_flesh_heap"	"Flesh Heap"
"[english]modifier_pudge_flesh_heap"	"Flesh Heap"

"modifier_pudge_flesh_heap_Description"	"Восстановление здоровья увеличено на %MODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%, сила увеличена на %0fMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%"
"[english]modifier_pudge_flesh_heap_Description"	"Gives Pudge %MODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% additional health regeneration and a bonus %0fMODIFIER_PROPERTY_STATS_STRENGTH_BONUS% strength"

"modifier_pudge_dismember"	"Dismember"
"[english]modifier_pudge_dismember"	"Dismember"

"modifier_pudge_dismember_Description"	"Расчленяется Pudge."
"[english]modifier_pudge_dismember_Description"	"Getting dismembered by Pudge."

"modifier_pudge_meat_hook"	"Meat Hook"
"[english]modifier_pudge_meat_hook"	"Meat Hook"

"modifier_pudge_meat_hook_Description"	"Ко мне!"
"[english]modifier_pudge_meat_hook_Description"	"Get over here!"

"modifier_storm_spirit_electric_vortex_self_slow"	"Замедление от Electric Vortex"
"[english]modifier_storm_spirit_electric_vortex_self_slow"	"Electric Vortex Slow"

"modifier_storm_spirit_electric_vortex_self_slow_Description"	"Скорость передвижения уменьшена на 50%%."
"[english]modifier_storm_spirit_electric_vortex_self_slow_Description"	"Slowed by 50%%."

"modifier_storm_spirit_electric_vortex_pull"	"Притяжение от Electric Vortex"
"[english]modifier_storm_spirit_electric_vortex_pull"	"Electric Vortex Pull"

"modifier_storm_spirit_electric_vortex_pull_Description"	"Затягивается воронкой Storm Spirit."
"[english]modifier_storm_spirit_electric_vortex_pull_Description"	"Being pulled by Storm Spirit's Vortex"

"modifier_storm_spirit_overload"	"Overload"
"[english]modifier_storm_spirit_overload"	"Overload"

"modifier_storm_spirit_overload_Description"	"Получает заряды, используя заклинания"
"[english]modifier_storm_spirit_overload_Description"	"Gain charges by casting a spell"

"modifier_storm_spirit_overload_debuff"	"Замедление от Overload"
"[english]modifier_storm_spirit_overload_debuff"	"Overload Slow"

"modifier_storm_spirit_overload_debuff_Description"	"Под действием способности Overload у Storm Spirit. Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки снижена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_storm_spirit_overload_debuff_Description"	"Affected by Storm Spirit's Overload. Move speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_storm_spirit_ball_lightning"	"Ball Lightning"
"[english]modifier_storm_spirit_ball_lightning"	"Ball Lightning"

"modifier_storm_spirit_ball_lightning_Description"	"Несется по полю битвы!"
"[english]modifier_storm_spirit_ball_lightning_Description"	"Striking across the map!"

"modifier_phantom_assassin_stiflingdagger"	"Stifling Dagger"
"[english]modifier_phantom_assassin_stiflingdagger"	"Stifling Dagger"

"modifier_phantom_assassin_stiflingdagger_Description"	"Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
"[english]modifier_phantom_assassin_stiflingdagger_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"modifier_skeleton_king_hellfire_blast"	"Wraithfire Blast"
"[english]modifier_skeleton_king_hellfire_blast"	"Wraithfire Blast"

"modifier_skeleton_king_hellfire_blast_Description"	"Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, и каждую секунду получает урон"
"[english]modifier_skeleton_king_hellfire_blast_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and taking damage over time"

"modifier_skeleton_king_vampiric_aura_buff"	"Vampiric Aura"
"[english]modifier_skeleton_king_vampiric_aura_buff"	"Vampiric Aura"

"modifier_skeleton_king_vampiric_aura_buff_Description"	"Восстанавливает здоровье каждым ударом"
"[english]modifier_skeleton_king_vampiric_aura_buff_Description"	"Regaining health with each attack"

"modifier_skeleton_king_reincarnate_slow"	"Reincarnate"
"[english]modifier_skeleton_king_reincarnate_slow"	"Reincarnate"

