\\ Названия способностей: \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"ability_attribute_bonus"	"Бонус к атрибутам"
"[english]ability_attribute_bonus"	"Attribute Bonus"

"ability_attribute_bonus_Description"	"Улучшает все атрибуты за каждое использованное очко"
"[english]ability_attribute_bonus_Description"	"Improves all attributes per point spent"

"ability_attribute_bonus_attribute_bonus_per_level"	"БОНУС:"
"[english]ability_attribute_bonus_attribute_bonus_per_level"	"BONUS:"

"ability_default_attack"	"Атака"
"[english]ability_default_attack"	"Attacks"

"ability_default_attack_Description"	"Урон от обычных атак."
"[english]ability_default_attack_Description"	"Damage done by direct attacks."

"ability_fountain_glyph"	"Укрепить строения {s:glyph_hotkey}"
"[english]ability_fountain_glyph"	"Glyph of Fortification {s:glyph_hotkey}"
"ability_fountain_glyph_Description"	"Делает ваши постройки и крипов с линий неуязвимыми на 6 секунд. Обновляется, если первая башня на любой линии падёт."
"[english]ability_fountain_glyph_Description"	"Grant your structures and lane creeps invincibility for 6 seconds. Refreshed if a first-tier tower falls."

"ability_fountain_glyph_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_fountain_glyph_duration"	"DURATION:"

"ability_fountain_buyback"	"Выкуп"
"[english]ability_fountain_buyback"	"Buyback"

"ability_fountain_buyback_Description"	"За золото мгновенно воскрешает вашего героя."
"[english]ability_fountain_buyback_Description"	"Respawns your hero immediately, for a price."

"ability_fountain_buyback_cost"	"СТОИМОСТЬ:"
"[english]ability_fountain_buyback_cost"	"COST:"

"ability_backdoor_protection"	"Защита от обхода"
"[english]ability_backdoor_protection"	"Backdoor Protection"

"ability_backdoor_protection_in_base"	"Защита от обхода"
"[english]ability_backdoor_protection_in_base"	"Backdoor Protection"

"ability_courier_return_to_base"	"Вернуться на базу"
"[english]ability_courier_return_to_base"	"Return to Base"

"ability_courier_return_to_base_Description"	"Возвращает курьера на базу"
"[english]ability_courier_return_to_base_Description"	"Returns the courier to base"

"ability_courier_transfer_items"	"Передать предметы"
"[english]ability_courier_transfer_items"	"Transfer Items"

