//game\dota\pak01_dir\resource\localization\richpresence_english.txt
"#DOTA_RP_INIT"	"Main Menu""Главное меню"
"#DOTA_RP_IDLE"	"Main Menu (Idle)""Главное меню (нет на месте)"
"#DOTA_RP_WAIT_FOR_PLAYERS_TO_LOAD"	"{%param0%}: Waiting for loaders""{%param0%}: загрузка игроков"
"#DOTA_RP_COACHING"					"{%param0%}: Coaching""{%param0%}: тренерство"
"#DOTA_RP_HERO_SELECTION"	"{%param0%}: Hero Selection""{%param0%}: выбор героя"
"#DOTA_RP_STRATEGY_TIME"	"{%param0%}: Strategy Time""{%param0%}: стадия планирования"
"#DOTA_RP_WAIT_FOR_MAP_TO_LOAD"	"{%param0%}: Waiting for game to load""{%param0%}: загрузка игры"
"#DOTA_RP_PRE_GAME"	"{%param0%}: Pre Game""{%param0%}: подготовка к игре"
"#DOTA_RP_GAME_IN_PROGRESS"	"{%param0%}: Playing A Game""{%param0%}: в игре"
"#DOTA_RP_GAME_IN_PROGRESS_CUSTOM"	"Playing %param0%""В игре (%param0%)"
"#DOTA_RP_GAME_IN_PROGRESS_CUSTOM_UNNAMED"	"Playing Custom Game""В пользовательском режиме"
"#DOTA_RP_LOBBY_CUSTOM"	"%param0% Lobby""В лобби (%param0%)"
"#DOTA_RP_LOBBY_CUSTOM_UNNAMED"	"Custom Game Lobby""В лобби польз. режима"
"#DOTA_RP_PLAYING_AS"	"{%param0%}: Lvl %param1% {%param2%}""{%param0%}: {%param2%} %param1%-го уровня"
"#DOTA_RP_POST_GAME"	"{%param0%}: Post Game""{%param0%}: игра окончена"
"#DOTA_RP_DISCONNECT"	"{%param0%}: Disconnecting""{%param0%}: отключение от игры"
"#DOTA_RP_SPECTATING"	"Spectating A Game""Наблюдение"
"#DOTA_RP_CASTING"	"Casting A Game""Трансляция игры"
"#DOTA_RP_PRIVATE_LOBBY"	"Private Lobby""Закрытое лобби"
"#DOTA_RP_LEAGUE_MATCH"	"Playing in a Tournament""Турнирная игра"
